id,public_id,description,level,parent_id
1,1400027,Technology,1,
2,1400028,Janitorial & Facility Supplies,1,
3,1400024,Office Supplies,1,
4,1400025,Furniture & Interiors,1,
5,1400029,Breakroom,1,
6,1400030,Safety & PPE,1,
7,1400026,School Supplies,1,
8,1500339,Consumer Electronics & Accessories,2,1
9,1500348,Air & Odor Control,2,2
10,1500337,Computer Supplies,2,1
11,1500310,Calendars & Planners,2,3
12,1500340,Business Machines & Accessories,2,1
13,1500030,Workstation Organizers,2,3
14,1500307,Envelopes,2,3
15,1500329,Seating,2,4
16,1500322,Boards & Easels,2,4
17,1500354,Cleaning Tools,2,2
18,1500357,Coffee & Coffee Supplies,2,5
19,1500353,Skin & Body Care,2,2
20,1500313,Forms & Recordkeeping,2,3
21,1500317,Mailing & Shipping,2,3
22,1500338,"Printers, Scanners & Supplies",2,1
23,1500311,Folders & Filing Supplies,2,3
24,1500343,Climate Control,2,2
25,1500320,Tape & Adhesives,2,3
26,1500315,General Supplies,2,3
27,1500345,Tools & Equipment,2,2
28,1500056,Lighting,2,2
29,1500376,Safety & Security Supplies,2,6
30,1500323,Carts & Stands,2,4
31,1500332,Organizers & Literature Displays,2,4
32,1500203,Art & Craft Supplies,2,7
33,1500352,Paper Products/Dispensers,2,2
34,1500367,Healthcare Supplies,2,6
35,1500308,Binders & Report Covers,2,3
36,1500334,Teaching Aids & Supplies,2,7
37,1500358,Food & Condiments,2,5
38,1500330,Storage Solutions,2,4
39,1500331,Tables,2,4
40,1500359,Tableware,2,5
41,1500363,First Aid Kits & Supplies,2,6
42,1500355,Waste & Recycling,2,2
43,1500316,Labels,2,3
44,1500200,Binder Accessories,2,3
45,1500336,Drafting Supplies,2,7
46,1500287,Cards & Stationery,2,3
47,1500240,Classroom Decor,2,7
48,1500360,Foodservice Supplies,2,5
49,1500370,Stamps & Stamp Pads,2,3
50,1500333,Games & Sports,2,7
51,1500349,Cleaning Supplies,2,2
52,1500368,"Clothing, Protection & Workwear",2,6
53,1500377,Beverage Supplies,2,5
54,1500361,Beverages,2,5
55,1500247,Restroom Supplies,2,2
56,1500341,Personal Care & Hygiene,2,2
57,1500364,Fire & Smoke Protection,2,6
58,1500318,Paper & Writing Pads,2,3
59,1500309,Business & Travel Cases,2,3
60,1500321,Writing,2,3
61,1500365,Gloves,2,6
62,1500356,Appliances,2,5
63,1500346,Facility Supplies,2,2
64,1500325,Furniture Accessories,2,4
65,1500312,Cash Handling,2,3
66,1500319,Storage,2,3
67,1500324,Desks,2,4
68,1500374,Educational Furniture,2,4
69,1500327,Office Decor & Lamps,2,4
70,1500328,Panels & Dividers,2,4
71,1500335,Classroom Supplies,2,7
72,1500350,Floor Care,2,2
73,1500351,Janitorial Equipment,2,2
74,1500347,Pest Control,2,2
75,1500366,Masks,2,6
76,1600003,Cameras,3,8
77,1600013,Air Fresheners,3,9
78,1600015,Screen Filters & Protectors,3,10
79,1600017,Planners & Appointment Books,3,11
80,1600024,Binding Machines,3,12
81,1600027,Bookends/Book Racks,3,13
82,1600029,Business Envelopes,3,14
83,1600031,Journals & Diaries,3,11
84,1600049,Chairmats,3,15
85,1600050,Chalk Boards,3,16
86,1600051,Clasp Envelopes,3,14
87,1600053,Brooms & Sweepers,3,17
88,1600057,Coffee,3,18
89,1600058,Coffee Makers & Warmers,3,18
90,1600063,Skin/Body Lotions,3,19
